# ---------------------------------- WARNING ----------------------------------------                     
# Some of the data that you have obtained from this U.S. Geological Survey database                       
# may not have received Director's approval. Any such data values are qualified                           
# as provisional and are subject to revision. Provisional data are released on the                        
# condition that neither the USGS nor the United States Government may be held liable                     
# for any damages resulting from its use.                                                                 
#                                                                                                         
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement                    
#                                                                                                         
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output                
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals                      
#                                                                                                         
# Contact:   gs-w_support_nwisweb@usgs.gov                                                                
# retrieved: 2020-03-26 16:02:43 EDT       (nadww02)                                                      
#                                                                                                         
# Data for the following 1 site(s) are contained in this file                                             
#    USGS 07374525 Mississippi River at Belle Chasse, LA                                                  
# -----------------------------------------------------------------------------------                     
#                                                                                                         
# Data provided for site 07374525                                                                         
#            TS   parameter     statistic     Description                                                 
#         61181       00065     00003     Gage height, feet (Mean)                                        
#         61182       00060     00003     Discharge, cubic feet per second (Mean)                         
#                                                                                                         
# Data-value qualification codes included in this output:                                                 
#                                                                                                         
#     A  Approved for publication -- Processing and review completed.                                     
#     P  Provisional data subject to revision.                                                            
#     e  Value has been estimated.                                                                        
#                                                                                                         
agency_cd	site_no	datetime	61181_00065_00003	61181_00065_00003_cd	61182_00060_00003	61182_00060_00003_cd
USGS	07374525	2009-01-27	10.12	A	492000	A                                                             
USGS	07374525	2009-01-28	9.65	A	476000	A                                                             
USGS	07374525	2009-01-29	9.27	A	443000	A                                                             
USGS	07374525	2009-01-30	8.84	A	416000	A                                                             
USGS	07374525	2009-01-31	8.52	A	400000	A                                                             
USGS	07374525	2009-02-01	8.49	A	369000	A                                                             
USGS	07374525	2009-02-02	8.76	A	385000	A                                                             
USGS	07374525	2009-02-03	8.76	A	381000	A                                                             
USGS	07374525	2009-02-04	8.53	A	379000	A                                                             
USGS	07374525	2009-02-05	8.31	A:e	363000	A:e                                                         
USGS	07374525	2009-02-06	8.50	A	361000	A                                                             
USGS	07374525	2009-02-07	8.82	A	368000	A                                                             
USGS	07374525	2009-02-08	9.13	A	396000	A                                                             
USGS	07374525	2009-02-09	9.72	A	411000	A                                                             
USGS	07374525	2009-02-10	10.30	A	435000	A                                                             
USGS	07374525	2009-02-11	10.45	A	459000	A                                                             
USGS	07374525	2009-02-12	10.05	A	450000	A                                                             
USGS	07374525	2009-02-13	9.95	A	440000	A                                                             
USGS	07374525	2009-02-14	9.91	A	454000	A                                                             
USGS	07374525	2009-02-15	10.03	A	465000	A                                                             
USGS	07374525	2009-02-16	10.06	A	473000	A                                                             
USGS	07374525	2009-02-17	10.08	A	462000	A                                                             
USGS	07374525	2009-02-18	10.24	A	485000	A                                                             
USGS	07374525	2009-02-19	10.33	A	525000	A                                                             
USGS	07374525	2009-02-20	10.42	A	519000	A                                                             
USGS	07374525	2009-02-21	10.67	A	517000	A                                                             
USGS	07374525	2009-02-22	10.91	A	560000	A                                                             
USGS	07374525	2009-02-23	11.15	A	561000	A                                                             
USGS	07374525	2009-02-24	11.28	A	558000	A                                                             
USGS	07374525	2009-02-25	11.49	A	560000	A                                                             
USGS	07374525	2009-02-26	11.72	A	558000	A                                                             
USGS	07374525	2009-02-27	11.84	A	573000	A                                                             
USGS	07374525	2009-02-28	11.76	A	614000	A                                                             
USGS	07374525	2009-03-01	11.31	A	630000	A                                                             
USGS	07374525	2009-03-02	11.18	A	582000	A                                                             
USGS	07374525	2009-03-03	11.05	A	552000	A                                                             
USGS	07374525	2009-03-04	10.96	A	519000	A                                                             
USGS	07374525	2009-03-05	10.82	A	496000	A                                                             
USGS	07374525	2009-03-06	10.66	A	490000	A                                                             
USGS	07374525	2009-03-07	10.65	A	478000	A                                                             
USGS	07374525	2009-03-08	10.71	A	493000	A                                                             
USGS	07374525	2009-03-09	10.67	A	487000	A                                                             
USGS	07374525	2009-03-10	10.64	A	484000	A                                                             
USGS	07374525	2009-03-11	10.57	A	480000	A                                                             
USGS	07374525	2009-03-12	10.44	A	479000	A                                                             
USGS	07374525	2009-03-13	10.46	A	469000	A                                                             
USGS	07374525	2009-03-14	10.50	A	466000	A                                                             
USGS	07374525	2009-03-15	10.51	A	480000	A                                                             
USGS	07374525	2009-03-16	10.63	A	484000	A                                                             
USGS	07374525	2009-03-17	10.66	A	489000	A                                                             
USGS	07374525	2009-03-18	10.85	A	492000	A                                                             
USGS	07374525	2009-03-19	11.00	A	514000	A                                                             
USGS	07374525	2009-03-20	11.14	A	534000	A                                                             
USGS	07374525	2009-03-21	11.33	A	526000	A                                                             
USGS	07374525	2009-03-22	11.52	A	531000	A                                                             
USGS	07374525	2009-03-23	11.82	A	544000	A                                                             
USGS	07374525	2009-03-24	12.25	A	554000	A                                                             
USGS	07374525	2009-03-25	12.55	A	577000	A                                                             
USGS	07374525	2009-03-26	12.81	A	570000	A                                                             
USGS	07374525	2009-03-27	13.44	A	598000	A                                                             
USGS	07374525	2009-03-28	13.79	A	701000	A                                                             
USGS	07374525	2009-03-29	13.40	A	709000	A                                                             
USGS	07374525	2009-03-30	13.51	A	665000	A                                                             
USGS	07374525	2009-03-31	13.56	A	682000	A                                                             
USGS	07374525	2009-04-01	13.61	A	689000	A                                                             
USGS	07374525	2009-04-02	13.84	A	680000	A                                                             
USGS	07374525	2009-04-03	13.54	A	688000	A                                                             
USGS	07374525	2009-04-04	13.57	A	651000	A                                                             
USGS	07374525	2009-04-05	13.65	A	676000	A                                                             
USGS	07374525	2009-04-06	13.45	A	726000	A                                                             
USGS	07374525	2009-04-07	13.53	A	712000	A                                                             
USGS	07374525	2009-04-08	13.76	A	686000	A                                                             
USGS	07374525	2009-04-09	13.96	A	682000	A                                                             
USGS	07374525	2009-04-10	14.24	A	697000	A                                                             
USGS	07374525	2009-04-11	14.13	A	722000	A                                                             
USGS	07374525	2009-04-12	14.46	A	687000	A                                                             
USGS	07374525	2009-04-13	14.49	A	745000	A                                                             
USGS	07374525	2009-04-14	14.44	A	778000	A                                                             
USGS	07374525	2009-04-15	14.45	A	735000	A                                                             
USGS	07374525	2009-04-16	14.43	A	719000	A                                                             
USGS	07374525	2009-04-17	14.60	A	708000	A                                                             
USGS	07374525	2009-04-18	14.65	A	721000	A                                                             
USGS	07374525	2009-04-19	14.67	A	753000	A                                                             
USGS	07374525	2009-04-20	14.45	A	787000	A                                                             
USGS	07374525	2009-04-21	14.43	A	767000	A                                                             
USGS	07374525	2009-04-22	14.35	A	741000	A                                                             
USGS	07374525	2009-04-23	14.26	A	761000	A                                                             
USGS	07374525	2009-04-24	14.37	A	747000	A                                                             
USGS	07374525	2009-04-25	14.39	A	745000	A                                                             
USGS	07374525	2009-04-26	14.48	A	726000	A                                                             
USGS	07374525	2009-04-27	14.56	A	725000	A                                                             
USGS	07374525	2009-04-28	14.47	A	735000	A                                                             
USGS	07374525	2009-04-29	14.37	A	733000	A                                                             
USGS	07374525	2009-04-30	14.42	A	718000	A                                                             
USGS	07374525	2009-05-01	14.28	A	725000	A                                                             
USGS	07374525	2009-05-02	14.25	A	710000	A                                                             
USGS	07374525	2009-05-03	14.32	A	707000	A                                                             
USGS	07374525	2009-05-04	14.24	A	721000	A                                                             
USGS	07374525	2009-05-05	14.13	A	715000	A                                                             
USGS	07374525	2009-05-06	14.25	A	712000	A                                                             
USGS	07374525	2009-05-07	14.26	A	732000	A                                                             
USGS	07374525	2009-05-08	14.41	A	746000	A                                                             
USGS	07374525	2009-05-09	14.56	A	772000	A                                                             
USGS	07374525	2009-05-10	14.63	A	799000	A                                                             
USGS	07374525	2009-05-11	14.77	A	807000	A                                                             
USGS	07374525	2009-05-12	15.00	A	844000	A                                                             
USGS	07374525	2009-05-13	15.24	A	849000	A                                                             
USGS	07374525	2009-05-14	15.44	A	874000	A                                                             
USGS	07374525	2009-05-15	15.60	A	887000	A                                                             
USGS	07374525	2009-05-16	15.83	A	932000	A                                                             
USGS	07374525	2009-05-17	16.09	A	984000	A                                                             
USGS	07374525	2009-05-18	16.35	A	1010000	A                                                             
USGS	07374525	2009-05-19	16.68	A	1010000	A                                                             
USGS	07374525	2009-05-20	16.79	A	1020000	A                                                             
USGS	07374525	2009-05-21	17.04	A	1030000	A                                                             
USGS	07374525	2009-05-22	17.28	A	1040000	A                                                             
USGS	07374525	2009-05-23	17.42	A	1090000	A                                                             
USGS	07374525	2009-05-24	17.40	A	1040000	A                                                             
USGS	07374525	2009-05-25	17.36	A	1070000	A                                                             
USGS	07374525	2009-05-26	17.32	A	1060000	A                                                             
USGS	07374525	2009-05-27	17.31	A	1040000	A                                                             
USGS	07374525	2009-05-28	17.37	A	1070000	A                                                             
USGS	07374525	2009-05-29	17.44	A	1120000	A                                                             
USGS	07374525	2009-05-30	17.54	A	1090000	A                                                             
USGS	07374525	2009-05-31	17.58	A	1070000	A                                                             
USGS	07374525	2009-06-01	17.59	A	1060000	A                                                             
USGS	07374525	2009-06-02	17.57	A	1070000	A                                                             
USGS	07374525	2009-06-03	17.50	A	1060000	A                                                             
USGS	07374525	2009-06-04	17.39	A	1090000	A                                                             
USGS	07374525	2009-06-05	17.24	A	1100000	A                                                             
USGS	07374525	2009-06-06	17.18	A	1010000	A                                                             
USGS	07374525	2009-06-07	17.04	A	992000	A                                                             
USGS	07374525	2009-06-08	16.87	A	982000	A                                                             
USGS	07374525	2009-06-09	16.67	A	961000	A                                                             
USGS	07374525	2009-06-10	16.43	A	937000	A                                                             
USGS	07374525	2009-06-11	16.25	A	919000	A                                                             
USGS	07374525	2009-06-12	15.97	A	891000	A                                                             
USGS	07374525	2009-06-13	15.71	A	856000	A                                                             
USGS	07374525	2009-06-14	15.46	A	850000	A                                                             
USGS	07374525	2009-06-15	15.24	A	819000	A                                                             
USGS	07374525	2009-06-16	15.00	A	790000	A                                                             
USGS	07374525	2009-06-17	14.71	A	747000	A                                                             
USGS	07374525	2009-06-18	14.48	A	721000	A                                                             
USGS	07374525	2009-06-19	14.34	A	701000	A                                                             
USGS	07374525	2009-06-20	14.19	A	681000	A                                                             
USGS	07374525	2009-06-21	14.07	A	672000	A                                                             
USGS	07374525	2009-06-22	13.99	A	665000	A                                                             
USGS	07374525	2009-06-23	13.92	A	664000	A                                                             
USGS	07374525	2009-06-24	13.87	A	660000	A                                                             
USGS	07374525	2009-06-25	13.89	A	642000	A                                                             
USGS	07374525	2009-06-26	13.90	A	643000	A                                                             
USGS	07374525	2009-06-27	13.84	A	639000	A                                                             
USGS	07374525	2009-06-28	13.72	A	638000	A                                                             
USGS	07374525	2009-06-29	13.70	A	649000	A                                                             
USGS	07374525	2009-06-30	13.70	A	637000	A                                                             
USGS	07374525	2009-07-01	13.66	A	633000	A                                                             
USGS	07374525	2009-07-02	13.56	A	638000	A                                                             
USGS	07374525	2009-07-03	13.36	A	631000	A                                                             
USGS	07374525	2009-07-04	13.22	A	616000	A                                                             
USGS	07374525	2009-07-05	13.11	A	606000	A                                                             
USGS	07374525	2009-07-06	12.84	A	596000	A                                                             
USGS	07374525	2009-07-07	12.54	A	579000	A                                                             
USGS	07374525	2009-07-08	12.08	A	553000	A                                                             
USGS	07374525	2009-07-09	11.59	A	528000	A                                                             
USGS	07374525	2009-07-10	11.07	A	504000	A                                                             
USGS	07374525	2009-07-11	10.57	A	488000	A                                                             
USGS	07374525	2009-07-12	10.15	A	474000	A                                                             
USGS	07374525	2009-07-13	9.89	A	482000	A                                                             
USGS	07374525	2009-07-14	9.71	A	467000	A                                                             
USGS	07374525	2009-07-15	9.48	A	454000	A                                                             
USGS	07374525	2009-07-16	9.39	A	439000	A                                                             
USGS	07374525	2009-07-17	9.31	A	435000	A                                                             
USGS	07374525	2009-07-18	9.15	A	415000	A                                                             
USGS	07374525	2009-07-19	9.12	A	398000	A                                                             
USGS	07374525	2009-07-20	9.12	A	384000	A                                                             
USGS	07374525	2009-07-21	9.16	A	377000	A                                                             
USGS	07374525	2009-07-22	9.08	A	383000	A                                                             
USGS	07374525	2009-07-23	8.95	A	393000	A                                                             
USGS	07374525	2009-07-24	9.01	A	391000	A                                                             
USGS	07374525	2009-07-25	9.01	A	385000	A                                                             
USGS	07374525	2009-07-26	9.03	A	407000	A                                                             
USGS	07374525	2009-07-27	8.97	A	398000	A                                                             
USGS	07374525	2009-07-28	9.03	A	395000	A                                                             
USGS	07374525	2009-07-29	9.05	A	392000	A                                                             
USGS	07374525	2009-07-30	9.03	A	388000	A                                                             
USGS	07374525	2009-07-31	9.05	A	394000	A                                                             
USGS	07374525	2009-08-01	9.08	A	386000	A                                                             
USGS	07374525	2009-08-02	9.18	A	402000	A                                                             
USGS	07374525	2009-08-03	9.30	A	402000	A                                                             
USGS	07374525	2009-08-04	9.41	A	413000	A                                                             
USGS	07374525	2009-08-05	9.50	A	416000	A                                                             
USGS	07374525	2009-08-06	9.59	A	446000	A                                                             
USGS	07374525	2009-08-07	9.69	A	443000	A                                                             
USGS	07374525	2009-08-08	9.84	A	457000	A                                                             
USGS	07374525	2009-08-09	9.96	A	455000	A                                                             
USGS	07374525	2009-08-10	10.07	A	473000	A                                                             
USGS	07374525	2009-08-11	10.15	A	481000	A                                                             
USGS	07374525	2009-08-12	10.19	A	495000	A                                                             
USGS	07374525	2009-08-13	10.16	A	479000	A                                                             
USGS	07374525	2009-08-14	10.18	A	474000	A                                                             
USGS	07374525	2009-08-15	10.32	A	471000	A                                                             
USGS	07374525	2009-08-16	10.38	A	456000	A                                                             
USGS	07374525	2009-08-17	10.35	A	447000	A                                                             
USGS	07374525	2009-08-18	10.05	A	426000	A                                                             
USGS	07374525	2009-08-19	9.89	A	409000	A                                                             
USGS	07374525	2009-08-20	9.75	A	389000	A                                                             
USGS	07374525	2009-08-21	9.48	A	374000	A                                                             
USGS	07374525	2009-08-22	9.26	A	364000	A                                                             
USGS	07374525	2009-08-23	9.09	A	353000	A                                                             
USGS	07374525	2009-08-24	9.08	A	349000	A                                                             
USGS	07374525	2009-08-25	8.99	A	340000	A                                                             
USGS	07374525	2009-08-26	8.93	A	338000	A                                                             
USGS	07374525	2009-08-27	9.10	A	326000	A                                                             
USGS	07374525	2009-08-28	9.17	A	317000	A                                                             
USGS	07374525	2009-08-29	9.16	A	318000	A                                                             
USGS	07374525	2009-08-30	9.10	A	330000	A                                                             
USGS	07374525	2009-08-31	9.02	A	333000	A                                                             
USGS	07374525	2009-09-01	9.00	A	336000	A                                                             
USGS	07374525	2009-09-02	9.14	A	339000	A                                                             
USGS	07374525	2009-09-03	9.27	A	325000	A                                                             
USGS	07374525	2009-09-04	9.33	A	309000	A                                                             
USGS	07374525	2009-09-05	9.23	A	300000	A                                                             
USGS	07374525	2009-09-06	9.05	A	299000	A                                                             
USGS	07374525	2009-09-07	8.87	A	287000	A                                                             
USGS	07374525	2009-09-08	8.98	A	284000	A                                                             
USGS	07374525	2009-09-09	9.02	A	302000	A                                                             
USGS	07374525	2009-09-10	9.14	A	297000	A                                                             
USGS	07374525	2009-09-11	9.30	A	305000	A                                                             
USGS	07374525	2009-09-12	9.62	A	309000	A                                                             
USGS	07374525	2009-09-13	9.60	A	316000	A                                                             
USGS	07374525	2009-09-14	9.70	A	311000	A                                                             
USGS	07374525	2009-09-15	9.50	A	312000	A                                                             
USGS	07374525	2009-09-16	9.45	A	295000	A                                                             
USGS	07374525	2009-09-17	9.31	A	306000	A                                                             
USGS	07374525	2009-09-18	9.28	A	308000	A                                                             
USGS	07374525	2009-09-19	9.25	A	309000	A                                                             
USGS	07374525	2009-09-20	9.21	A	316000	A                                                             
USGS	07374525	2009-09-21	9.28	A	329000	A                                                             
USGS	07374525	2009-09-22	9.53	A	343000	A                                                             
USGS	07374525	2009-09-23	9.70	A	353000	A                                                             
USGS	07374525	2009-09-24	9.81	A	363000	A                                                             
USGS	07374525	2009-09-25	9.89	A	374000	A                                                             
USGS	07374525	2009-09-26	9.85	A	379000	A                                                             
USGS	07374525	2009-09-27	9.84	A	386000	A                                                             
USGS	07374525	2009-09-28	9.87	A	421000	A                                                             
USGS	07374525	2009-09-29	9.92	A	414000	A                                                             
USGS	07374525	2009-09-30	10.00	A	415000	A                                                             
USGS	07374525	2009-10-01	10.00	A	421000	A                                                             
USGS	07374525	2009-10-02	10.14	A	426000	A                                                             
USGS	07374525	2009-10-03	10.09	A	416000	A                                                             
USGS	07374525	2009-10-04	10.29	A	414000	A                                                             
USGS	07374525	2009-10-05	10.23	A	425000	A                                                             
USGS	07374525	2009-10-06	10.27	A	433000	A                                                             
USGS	07374525	2009-10-07	10.42	A	461000	A                                                             
USGS	07374525	2009-10-08	10.48	A	471000	A                                                             
USGS	07374525	2009-10-09	10.69	A	487000	A                                                             
USGS	07374525	2009-10-10	10.54	A	512000	A                                                             
USGS	07374525	2009-10-11	10.63	A	500000	A                                                             
USGS	07374525	2009-10-12	10.52	A	486000	A                                                             
USGS	07374525	2009-10-13	10.43	A	486000	A                                                             
USGS	07374525	2009-10-14	10.56	A	488000	A                                                             
USGS	07374525	2009-10-15	10.94	A	513000	A                                                             
USGS	07374525	2009-10-16	11.48	A	593000	A                                                             
USGS	07374525	2009-10-17	12.01	A	642000	A                                                             
USGS	07374525	2009-10-18	12.51	A	683000	A                                                             
USGS	07374525	2009-10-19	13.02	A	719000	A                                                             
USGS	07374525	2009-10-20	13.49	A	760000	A                                                             
USGS	07374525	2009-10-21	14.19	A	771000	A                                                             
USGS	07374525	2009-10-22	14.73	A	769000	A                                                             
USGS	07374525	2009-10-23	14.74	A	835000	A                                                             
USGS	07374525	2009-10-24	14.57	A	821000	A                                                             
USGS	07374525	2009-10-25	14.63	A	778000	A                                                             
USGS	07374525	2009-10-26	14.49	A	761000	A                                                             
USGS	07374525	2009-10-27	14.59	A	755000	A                                                             
USGS	07374525	2009-10-28	14.54	A	734000	A                                                             
USGS	07374525	2009-10-29	14.67	A	711000	A                                                             
USGS	07374525	2009-10-30	14.69	A	720000	A                                                             
USGS	07374525	2009-10-31	14.47	A	763000	A                                                             
USGS	07374525	2009-11-01	14.52	A	748000	A                                                             
USGS	07374525	2009-11-02	14.64	A	755000	A                                                             
USGS	07374525	2009-11-03	14.74	A	780000	A                                                             
USGS	07374525	2009-11-04	14.95	A	806000	A                                                             
USGS	07374525	2009-11-05	15.20	A	819000	A                                                             
USGS	07374525	2009-11-06	15.36	A	842000	A                                                             
USGS	07374525	2009-11-07	15.51	A	870000	A                                                             
USGS	07374525	2009-11-08	15.77	A	883000	A                                                             
USGS	07374525	2009-11-09	16.87	A	872000	A                                                             
USGS	07374525	2009-11-10	16.81	A	1030000	A                                                             
USGS	07374525	2009-11-11	16.09	A	1030000	A                                                             
USGS	07374525	2009-11-12	16.04	A	1000000	A                                                             
USGS	07374525	2009-11-13	16.02	A	935000	A                                                             
USGS	07374525	2009-11-14	15.97	A	941000	A                                                             
USGS	07374525	2009-11-15	15.95	A	946000	A                                                             
USGS	07374525	2009-11-16	15.86	A	925000	A                                                             
USGS	07374525	2009-11-17	15.72	A	1010000	A                                                             
USGS	07374525	2009-11-18	15.72	A	925000	A                                                             
USGS	07374525	2009-11-19	15.64	A	888000	A                                                             
USGS	07374525	2009-11-20	15.52	A	889000	A                                                             
USGS	07374525	2009-11-21	15.45	A	864000	A                                                             
USGS	07374525	2009-11-22	15.30	A	872000	A                                                             
USGS	07374525	2009-11-23	14.98	A	816000	A                                                             
USGS	07374525	2009-11-24	14.79	A	784000	A                                                             
USGS	07374525	2009-11-25	14.65	A	813000	A                                                             
USGS	07374525	2009-11-26	14.51	A	792000	A                                                             
USGS	07374525	2009-11-27	14.31	A	752000	A                                                             
USGS	07374525	2009-11-28	14.30	A	718000	A                                                             
USGS	07374525	2009-11-29	14.32	A	710000	A                                                             
USGS	07374525	2009-11-30	14.28	A	735000	A                                                             
USGS	07374525	2009-12-01	14.50	A	707000	A                                                             
USGS	07374525	2009-12-02	14.65	A	743000	A                                                             
USGS	07374525	2009-12-03	13.98	A	718000	A                                                             
USGS	07374525	2009-12-04	13.80	A	677000	A                                                             
USGS	07374525	2009-12-05	13.50	A	657000	A                                                             
USGS	07374525	2009-12-06	13.18	A	597000	A                                                             
USGS	07374525	2009-12-07	13.01	A	572000	A                                                             
USGS	07374525	2009-12-08	13.13	A	565000	A                                                             
USGS	07374525	2009-12-09	12.76	A	591000	A                                                             
USGS	07374525	2009-12-10	12.59	A	569000	A                                                             
USGS	07374525	2009-12-11	12.66	A	547000	A                                                             
USGS	07374525	2009-12-12	12.77	A	558000	A                                                             
USGS	07374525	2009-12-13	12.69	A	574000	A                                                             
USGS	07374525	2009-12-14	12.67	A	571000	A                                                             
USGS	07374525	2009-12-15	12.84	A	613000	A                                                             
USGS	07374525	2009-12-16	13.17	A	634000	A                                                             
USGS	07374525	2009-12-17	13.55	A	641000	A                                                             
USGS	07374525	2009-12-18	14.10	A	717000	A                                                             
USGS	07374525	2009-12-19	13.83	A	733000	A                                                             
USGS	07374525	2009-12-20	13.84	A	712000	A                                                             
USGS	07374525	2009-12-21	13.93	A	701000	A                                                             
USGS	07374525	2009-12-22	14.25	A	703000	A                                                             
USGS	07374525	2009-12-23	14.54	A	704000	A                                                             
USGS	07374525	2009-12-24	14.98	A	722000	A                                                             
USGS	07374525	2009-12-25	14.61	A	796000	A                                                             
USGS	07374525	2009-12-26	14.53	A	731000	A                                                             
USGS	07374525	2009-12-27	14.45	A	770000	A                                                             
USGS	07374525	2009-12-28	14.33	A	761000	A                                                             
USGS	07374525	2009-12-29	14.48	A	751000	A                                                             
USGS	07374525	2009-12-30	14.67	A	751000	A                                                             
USGS	07374525	2009-12-31	14.85	A	805000	A                                                             
USGS	07374525	2010-01-01	14.85	A	848000	A                                                             
USGS	07374525	2010-01-02	14.95	A	838000	A                                                             
USGS	07374525	2010-01-03	14.99	A	858000	A                                                             
USGS	07374525	2010-01-04	14.98	A	915000	A                                                             
USGS	07374525	2010-01-05	14.93	A	919000	A                                                             
USGS	07374525	2010-01-06	14.99	A	859000	A                                                             
USGS	07374525	2010-01-07	15.09	A	907000	A                                                             
USGS	07374525	2010-01-08	15.03	A	981000	A                                                             
USGS	07374525	2010-01-09	15.00	A	982000	A                                                             
USGS	07374525	2010-01-10	14.83	A	954000	A                                                             
USGS	07374525	2010-01-11	14.61	A	863000	A                                                             
USGS	07374525	2010-01-12	14.33	A	872000	A                                                             
USGS	07374525	2010-01-13	14.11	A	801000	A                                                             
USGS	07374525	2010-01-14	13.91	A	733000	A                                                             
USGS	07374525	2010-01-15	13.85	A	670000	A                                                             
USGS	07374525	2010-01-16	14.05	A	648000	A                                                             
USGS	07374525	2010-01-17	13.30	A	668000	A                                                             
USGS	07374525	2010-01-18	12.68	A	590000	A                                                             
USGS	07374525	2010-01-19	12.30	A	562000	A                                                             
USGS	07374525	2010-01-20	12.12	A	524000	A                                                             
USGS	07374525	2010-01-21	12.02	A	522000	A                                                             
USGS	07374525	2010-01-22	11.71	A	517000	A                                                             
USGS	07374525	2010-01-23	11.81	A	485000	A                                                             
USGS	07374525	2010-01-24	11.92	A	525000	A                                                             
USGS	07374525	2010-01-25	11.62	A	553000	A                                                             
USGS	07374525	2010-01-26	11.60	A	542000	A                                                             
USGS	07374525	2010-01-27	11.83	A	536000	A                                                             
USGS	07374525	2010-01-28	12.24	A	567000	A                                                             
USGS	07374525	2010-01-29	12.94	A	596000	A                                                             
USGS	07374525	2010-01-30	13.17	A	734000	A                                                             
USGS	07374525	2010-01-31	13.69	A	722000	A                                                             
USGS	07374525	2010-02-01	14.14	A	738000	A                                                             
USGS	07374525	2010-02-02	14.43	A	822000	A                                                             
USGS	07374525	2010-02-03	14.69	A	812000	A                                                             
USGS	07374525	2010-02-04	15.06	A	843000	A                                                             
USGS	07374525	2010-02-05	15.28	A	945000	A                                                             
USGS	07374525	2010-02-06	15.12	A	975000	A                                                             
USGS	07374525	2010-02-07	15.24	A	954000	A                                                             
USGS	07374525	2010-02-08	15.51	A	883000	A                                                             
USGS	07374525	2010-02-09	15.53	A	1050000	A                                                             
USGS	07374525	2010-02-10	15.51	A	1040000	A                                                             
USGS	07374525	2010-02-11	15.70	A	993000	A                                                             
USGS	07374525	2010-02-12	15.98	A	1080000	A                                                             
USGS	07374525	2010-02-13	15.97	A	1040000	A                                                             
USGS	07374525	2010-02-14	15.94	A	974000	A                                                             
USGS	07374525	2010-02-15	15.86	A	1120000	A                                                             
USGS	07374525	2010-02-16	15.88	A	1080000	A                                                             
USGS	07374525	2010-02-17	15.84	A	1070000	A                                                             
USGS	07374525	2010-02-18	15.76	A	988000	A                                                             
USGS	07374525	2010-02-19	15.80	A	988000	A                                                             
USGS	07374525	2010-02-20	15.79	A	953000	A                                                             
USGS	07374525	2010-02-21	15.79	A	923000	A                                                             
