%Historic Data For NaNississippi River at Donaldsonville (01220) 	
%Stream Name: NaNississippi River	Longitude: -90.95889400
%Gage Zero: 0 Ft. GAGE	Latitude: 30.10306900
%Flood?Stage: 27 Ft.	
%Record High?Stage: 36.01 Ft.	River NaNile: 175.4
%	Record High?Stage Date: 05 15 1927
%Location of Gage:	
%	
%Mississippi River NaNile?173.6 on right descending bank at the CF Industries dock.	
%	
%?Adjustment for?vertical?datum NAVD88 (OPUS 2010):? -0.88 ft.? 	
%(e.g. for data relative to NAVD88 subtract 0.88 ft.)? This adjustment is only for data after 14June1988.	
%	
%?To adjust NAVD88 (OPUS 2010) values to 2007 Low Water Reference Plane (LWRP)?datum relative to NAVD88, subtract 1.4 ft.	
%	
%?** Raw data, subject to change **	
%	
%08:00 Central	
%Date   Time	Stage (Ft)
4 3 2009	19.07
4 4 2009	18.93
4 5 2009	19.08
4 6 2009	19.16
4 7 2009	19.39
4 8 2009	19.64
4 9 2009	19.95
4 10 2009	20.23
4 11 2009	20.38
4 12 2009	20.46
4 13 2009	20.91
4 14 2009	20.81
4 15 2009	20.89
4 16 2009	20.84
4 17 2009	20.88
4 18 2009	21.12
4 19 2009	21.21
4 20 2009	21.2
4 21 2009	21.14
4 22 2009	21.1
4 23 2009	21.01
4 24 2009	20.99
4 25 2009	20.97
4 26 2009	20.94
4 27 2009	20.98
4 28 2009	20.99
4 29 2009	20.85
4 30 2009	20.81
5 1 2009	20.81
5 2 2009	20.65
5 3 2009	20.58
5 4 2009	20.61
5 5 2009	20.48
5 6 2009	20.62
5 7 2009	20.86
5 8 2009	21.18
5 9 2009	21.51
5 10 2009	21.92
5 11 2009	22.4
5 12 2009	22.96
5 13 2009	23.48
5 14 2009	24.01
5 15 2009	24.6
5 16 2009	25.12
5 17 2009	25.73
5 18 2009	26.29
5 19 2009	26.82
5 20 2009	27.22
5 21 2009	27.64
5 22 2009	28.1
5 23 2009	28.61
5 24 2009	28.94
5 25 2009	29.05
5 26 2009	29.1
5 27 2009	29.15
5 28 2009	29.4
5 29 2009	29.67
5 30 2009	29.88
5 31 2009	29.95
6 1 2009	29.93
6 2 2009	29.85
6 3 2009	29.67
6 4 2009	29.29
6 5 2009	28.97
6 6 2009	28.63
6 7 2009	28.28
6 8 2009	27.86
6 9 2009	27.3
6 10 2009	26.72
6 11 2009	26.1
6 12 2009	25.57
6 13 2009	24.87
6 14 2009	24.25
6 15 2009	23.58
6 16 2009	22.89
6 17 2009	22.13
6 18 2009	21.33
6 19 2009	20.8
6 20 2009	20.41
6 21 2009	20.08
6 22 2009	19.88
6 23 2009	19.72
6 24 2009	19.61
6 25 2009	19.61
6 26 2009	19.5
6 27 2009	19.49
6 28 2009	19.36
6 29 2009	19.32
6 30 2009	19.26
7 1 2009	19.19
7 2 2009	18.94
7 3 2009	18.68
7 4 2009	18.3
7 5 2009	17.86
7 6 2009	17.28
7 7 2009	16.63
7 8 2009	15.6
7 9 2009	14.51
7 10 2009	13.35
7 11 2009	12.11
7 12 2009	11.03
7 13 2009	10.17
7 14 2009	9.58
7 15 2009	9.17
7 16 2009	8.88
7 17 2009	8.5
7 18 2009	8.12
7 19 2009	7.81
7 20 2009	7.6
7 21 2009	7.48
7 22 2009	7.24
7 23 2009	7.23
7 24 2009	7.46
7 25 2009	7.73
7 26 2009	7.76
7 27 2009	7.78
7 28 2009	7.77
7 29 2009	7.64
7 30 2009	7.44
7 31 2009	7.66
8 1 2009	7.77
8 2 2009	8.12
8 3 2009	8.42
8 4 2009	8.65
8 5 2009	8.88
8 6 2009	9.07
8 7 2009 NaN
8 8 2009 NaN
8 9 2009 NaN
8 10 2009	10.72
8 11 2009	11.24
8 12 2009	11.28
8 13 2009	11.29
8 14 2009	11.29
8 15 2009	11.15
8 16 2009	10.83
8 17 2009	10.24
8 18 2009	9.42
8 19 2009	8.67
8 20 2009	7.98
8 21 2009	7.56
8 22 2009	7.21
8 23 2009	7.09
8 24 2009	7.07
8 25 2009	7.01
8 26 2009	6.86
8 27 2009	6.64
8 28 2009	6.65
8 29 2009	6.6
8 30 2009	6.62
8 31 2009	6.66
9 1 2009	6.7
9 2 2009	6.75
9 3 2009	6.64
9 4 2009	6.61
9 5 2009	6.49
9 6 2009	6.11
9 7 2009	5.91
9 8 2009	5.97
9 9 2009	6.17
9 10 2009	6.42
9 11 2009	6.59
9 12 2009	7.08
9 13 2009	7.04
9 14 2009	6.88
9 15 2009	6.54
9 16 2009	6.49
9 17 2009	6.36
9 18 2009	6.47
9 19 2009	6.67
9 20 2009	6.78
9 21 2009	7.12
9 22 2009	7.63
9 23 2009	8.06
9 24 2009	8.33
9 25 2009	8.5
9 26 2009	8.57
9 27 2009	8.52
9 28 2009	8.71
9 29 2009	9
9 30 2009	9.32
10 1 2009	9.48
10 2 2009	9.71
10 3 2009	9.62
10 4 2009	9.7
10 5 2009	10.2
10 6 2009	10.57
10 7 2009	11.32
10 8 2009	11.89
10 9 2009	12.21
10 10 2009	12.19
10 11 2009	12.1
10 12 2009	11.83
10 13 2009	11.56
10 14 2009	11.7
10 15 2009	12.75
10 16 2009	14.61
10 17 2009	16.35
10 18 2009	17.59
10 19 2009	18.73
10 20 2009	19.73
10 21 2009	20.55
10 22 2009	21.19
10 23 2009	21.5
10 24 2009	21.26
10 25 2009	21.13
10 26 2009	20.89
10 27 2009	20.83
10 28 2009	20.61
10 29 2009	20.63
10 30 2009	20.58
10 31 2009	20.68
11 1 2009	20.76
11 2 2009	21.07
11 3 2009	21.51
11 4 2009	21.95
11 5 2009	22.49
11 6 2009	23
11 7 2009	23.3
11 8 2009	23.72
11 9 2009	24.27
11 10 2009	25.44
11 11 2009	25.03
11 12 2009	25.19
11 13 2009	25.22
11 14 2009	25.19
11 15 2009	25.11
11 16 2009	24.99
11 17 2009	24.73
11 18 2009	24.54
11 19 2009	24.18
11 20 2009	23.71
11 21 2009	23.23
11 22 2009	22.83
11 23 2009	22.06
11 24 2009	21.47
11 25 2009	21.08
11 26 2009	20.78
11 27 2009	20.5
11 28 2009	20.37
11 29 2009	20.34
11 30 2009	20.21
12 1 2009	20.19
12 2 2009	20.4
12 3 2009	19.61
12 4 2009	19.09
12 5 2009	18.54
12 6 2009	17.86
12 7 2009	17.38
12 8 2009	17.27
12 9 2009	16.81
12 10 2009	16.38
12 11 2009	16.34
12 12 2009	16.39
12 13 2009	16.74
12 14 2009	16.81
12 15 2009	17.45
12 16 2009	18.23
12 17 2009	18.77
12 18 2009	19.66
12 19 2009	19.75
12 20 2009	19.89
12 21 2009	19.97
12 22 2009	20.18
12 23 2009	20.48
12 24 2009	20.69
12 25 2009	20.8
12 26 2009	20.54
12 27 2009	20.68
12 28 2009	20.71
12 29 2009	21.07
12 30 2009	21.36
12 31 2009	21.86
1 1 2010	22.09
1 2 2010	22.28
1 3 2010	22.49
1 4 2010	22.54
1 5 2010	22.64
1 6 2010	22.73
1 7 2010	22.87
1 8 2010	22.96
1 9 2010	23.04
1 10 2010	22.84
1 11 2010	22.21
1 12 2010	21.56
1 13 2010	20.78
1 14 2010	19.95
1 15 2010	19.15
1 16 2010	18.78
1 17 2010	18.07
1 18 2010	17.09
1 19 2010	16.35
1 20 2010	15.62
1 21 2010	15.17
1 22 2010	14.75
1 23 2010	14.54
1 24 2010	14.6
1 25 2010 NaN
1 26 2010	14.98
1 27 2010	15.63
1 28 2010	16.63
1 29 2010	17.79
1 30 2010	18.96
1 31 2010	19.82
2 1 2010	20.35
2 2 2010	20.98
2 3 2010	21.46
2 4 2010	22.1
2 5 2010	22.89
2 6 2010	23.23
2 7 2010	23.6
2 8 2010	23.88
2 9 2010	24.35
2 10 2010	24.52
2 11 2010	24.94
2 12 2010	25.43
2 13 2010	25.62
2 14 2010	25.6
2 15 2010	25.67
2 16 2010	25.71
2 17 2010	25.63
2 18 2010	25.44
2 19 2010	25.38
2 20 2010	25.18
2 21 2010	25
2 22 2010	24.7
2 23 2010	24.33
2 24 2010	23.89
2 25 2010	23.18
2 26 2010	22.57
2 27 2010	22
2 28 2010	21.28
3 1 2010	20.56
3 2 2010	20.53
3 3 2010	20.09
3 4 2010	19.83
3 5 2010	19.57
3 6 2010	19.41
3 7 2010	19.22
3 8 2010	18.93
3 9 2010	18.66
3 10 2010	18.29
3 11 2010	17.82
3 12 2010	17.35
3 13 2010	16.59
3 14 2010	15.92
3 15 2010	15.37
3 16 2010	15.03
3 17 2010	14.86
3 18 2010	14.88
3 19 2010	15.16
3 20 2010	15.59
3 21 2010	16.33
3 22 2010	16.88
3 23 2010	17.67
3 24 2010	18.39
3 25 2010	19.03
3 26 2010	19.57
3 27 2010	20.06
3 28 2010	20.48
3 29 2010	20.81
3 30 2010	21.09
3 31 2010	21.38
4 1 2010	21.63
4 2 2010	22
4 3 2010	22.34
4 4 2010	22.51
4 5 2010	22.75
4 6 2010	22.79
4 7 2010	22.92
4 8 2010	22.99
4 9 2010	22.98
4 10 2010	22.96
4 11 2010	22.92
4 12 2010	22.84
4 13 2010	22.76
4 14 2010	22.73
4 15 2010	22.62
4 16 2010	22.41
4 17 2010	21.98
4 18 2010	21.71
4 19 2010	21.27
4 20 2010	20.83
4 21 2010	20.37
4 22 2010	19.82
4 23 2010	19.23
4 24 2010	18.72
4 25 2010	18.08
4 26 2010	17
4 27 2010	16
4 28 2010	15
4 29 2010	14.29
4 30 2010	13.83
5 1 2010	12.98
5 2 2010	12.51
5 3 2010	12.25
5 4 2010	12.63
5 5 2010	13.6
5 6 2010	14.62
5 7 2010	15.5
5 8 2010	16.3
5 9 2010	17.14
5 10 2010	17.98
5 11 2010	18.73
5 12 2010	19.36
5 13 2010	19.97
5 14 2010	20.56
5 15 2010	20.97
5 16 2010	21.66
5 17 2010	21.9
5 18 2010	22.32
5 19 2010	22.69
5 20 2010	22.95
5 21 2010	23.24
5 22 2010	23.51
5 23 2010	23.72
5 24 2010	23.89
5 25 2010	24.07
5 26 2010	24.22
5 27 2010	24.31
5 28 2010	24.36
5 29 2010	24.44
5 30 2010	24.46
5 31 2010	24.46
6 1 2010	24.37
6 2 2010	24.29
6 3 2010	24.16
6 4 2010	24.15
6 5 2010	24.01
6 6 2010	23.78
6 7 2010	23.44
6 8 2010	22.88
6 9 2010	22.25
6 10 2010	21.62
6 11 2010	20.88
6 12 2010	20.07
6 13 2010	19.29
6 14 2010	18.51
6 15 2010	17.82
6 16 2010	17.26
6 17 2010	16.71
6 18 2010	16.34
6 19 2010	16.3
6 20 2010	16.35
6 21 2010	16.54
6 22 2010	16.73
6 23 2010	16.87
6 24 2010	16.98
6 25 2010	17.26
6 26 2010	17.47
6 27 2010	17.72
6 28 2010	17.94
6 29 2010	18.04
6 30 2010	18.08
7 1 2010	18.15
7 2 2010	18.09
7 3 2010	18.02
7 4 2010	18.3
7 5 2010	18.49
7 6 2010	18.48
7 7 2010	18.44
7 8 2010	18.38
7 9 2010	18.43
7 10 2010	18.32
7 11 2010	18.24
7 12 2010	18.08
7 13 2010	17.94
7 14 2010	17.77
7 15 2010	17.75
7 16 2010	17.61
7 17 2010	17.5
7 18 2010	17.38
7 19 2010	17.27
7 20 2010	17.11
7 21 2010	17.04
7 22 2010	16.95
7 23 2010	16.87
7 24 2010	16.79
7 25 2010	16.77
7 26 2010	16.32
7 27 2010	15.83
7 28 2010	15.49
7 29 2010	15.23
7 30 2010	15.09
7 31 2010	15.1
8 1 2010	15.17
8 2 2010	15.3
8 3 2010	15.39
8 4 2010	15.24
8 5 2010 NaN
8 6 2010	14.88
8 7 2010	14.59
8 8 2010	14.36
8 9 2010	14
8 10 2010	13.68
8 11 2010	13.66
8 12 2010	13.78
8 13 2010	13.41
8 14 2010	12.97
8 15 2010	12.47
8 16 2010	12.02
8 17 2010	11.67
8 18 2010	11.73
8 19 2010	11.9
8 20 2010	11.61
8 21 2010	10.93
8 22 2010	10.12
8 23 2010	9.82
8 24 2010	9.79
8 25 2010	9.88
8 26 2010	9.98
8 27 2010	10.08
8 28 2010	10.4
8 29 2010	10.63
8 30 2010	10.83
8 31 2010	10.9
9 1 2010	10.97
9 2 2010	10.79
9 3 2010	10.28
9 4 2010	9.78
9 5 2010	9.29
9 6 2010	8.83
9 7 2010	8.39
9 8 2010	7.85
9 9 2010	7.39
9 10 2010	7
9 11 2010	6.79
9 12 2010	6.52
9 13 2010	6.57
9 14 2010	6.91
9 15 2010	7.1
9 16 2010	7.25
9 17 2010	7.02
9 18 2010	6.83
9 19 2010	6.61
9 20 2010	6.43
9 21 2010	6.29
9 22 2010	6.37
9 23 2010	6.52
9 24 2010	6.56
9 25 2010	6.53
9 26 2010	6.48
9 27 2010	6.45
9 28 2010	6.53
9 29 2010	6.29
9 30 2010	6.42
10 1 2010	6.3
10 2 2010	6.35
10 3 2010	6.49
10 4 2010	6.89
10 5 2010	6.99
10 6 2010	7.17
10 7 2010	7.22
10 8 2010	7.32
10 9 2010	7.42
10 10 2010	7.53
10 11 2010	7.34
10 12 2010	7.17
10 13 2010	6.86
10 14 2010	6.43
10 15 2010	6.19
10 16 2010	5.93
10 17 2010	5.79
10 18 2010	5.76
10 19 2010	5.97
10 20 2010	5.97
10 21 2010	6.15
10 22 2010	6.15
10 23 2010	6.12
10 24 2010	6.27
10 25 2010	6.26
10 26 2010	6.37
10 27 2010	6.12
10 28 2010	5.83
10 29 2010	5.72
10 30 2010	5.48
10 31 2010	5.16
11 1 2010	5.14
11 2 2010	5.13
11 3 2010	5.12
11 4 2010	5.12
11 5 2010	4.68
11 6 2010	4.67
11 7 2010	4.64
11 8 2010	4.62
11 9 2010	4.6
11 10 2010	4.6
11 11 2010	4.59
11 12 2010	4.59
11 13 2010	4.58
11 14 2010	4.59
11 15 2010	4.58
11 16 2010	4.58
11 17 2010	4.59
11 18 2010	4.58
11 19 2010	4.59
11 20 2010	6.78
11 21 2010	6.78
11 22 2010	6.77
11 23 2010	6.76
11 24 2010	6.76
11 25 2010	6.76
11 26 2010	6.78
11 27 2010	6.79
11 28 2010	6.78
11 29 2010	6.77
11 30 2010	7
12 1 2010	6.8
12 2 2010	4.85
12 3 2010	5.09
12 4 2010	5.54
12 5 2010	6
12 6 2010	6.65
12 7 2010	6.77
12 8 2010	7.02
12 9 2010	7.54
12 10 2010	7.96
12 11 2010	8.62
12 12 2010	9.07
12 13 2010	8.94
12 14 2010	9.25
12 15 2010	9.31
12 16 2010	9.13
12 17 2010	8.64
12 18 2010	8.16
12 19 2010	7.62
12 20 2010	7.08
12 21 2010	6.77
12 22 2010	6.17
12 23 2010	5.82
12 24 2010	5.67
12 25 2010	5.68
12 26 2010	5.21
12 27 2010	4.96
12 28 2010	4.77
12 29 2010	4.57
12 30 2010	5.2
12 31 2010	5.16
1 1 2011	5.46
1 2 2011	5.22
1 3 2011	5.22
1 4 2011	5.13
1 5 2011	4.94
1 6 2011	4.71
1 7 2011	4.35
1 8 2011	4.25
1 9 2011	4.04
1 10 2011	4.97
1 11 2011	4.76
1 12 2011	5.15
1 13 2011	5.88
1 14 2011	6.63
1 15 2011	7.19
1 16 2011	7.55
1 17 2011	7.74
1 18 2011	7.69
1 19 2011	7.48
1 20 2011	7.13
1 21 2011	6.47
1 22 2011	6.08
1 23 2011	5.29
1 24 2011	4.84
1 25 2011 NaN
1 26 2011	4.51
1 27 2011 NaN
1 28 2011	4.41
1 29 2011	4.42
1 30 2011	4.46
1 31 2011	4.48
2 1 2011	4.62
2 2 2011	4.62
2 3 2011	4.67
2 4 2011	4.9
2 5 2011	4.59
2 6 2011	4.64
2 7 2011	4.78
2 8 2011	4.65
2 9 2011	4.76
2 10 2011	4.91
2 11 2011	5.06
2 12 2011	5.44
2 13 2011	5.77
2 14 2011	6.32
2 15 2011	6.82
2 16 2011	6.99
2 17 2011	6.86
2 18 2011	6.71
2 19 2011	6.32
2 20 2011	5.97
2 21 2011	5.71
2 22 2011	5.38
2 23 2011	4.89
2 24 2011	4.57
2 25 2011	4.57
2 26 2011	4.56
2 27 2011	5.16
2 28 2011	6.38
3 1 2011	7.62
3 2 2011	9.32
3 3 2011	10.95
3 4 2011	12.54
3 5 2011	14.09
3 6 2011	15.16
3 7 2011	16.06
3 8 2011	16.82
3 9 2011	17.73
3 10 2011	18.87
3 11 2011	19.57
3 12 2011	19.99
3 13 2011	20.32
3 14 2011	20.72
3 15 2011	21.02
3 16 2011	21.46
3 17 2011	21.75
3 18 2011	21.97
3 19 2011	22.22
3 20 2011	22.42
3 21 2011	22.64
3 22 2011	22.84
3 23 2011	23.09
3 24 2011	23.27
3 25 2011 NaN
3 26 2011	23.7
3 27 2011	23.89
3 28 2011	24.1
3 29 2011	24.34
3 30 2011	24.64
3 31 2011	24.91
4 1 2011	25.09
4 2 2011	25.12
4 3 2011	25.17
4 4 2011	25.13
4 5 2011	24.97
4 6 2011	24.88
4 7 2011	24.49
4 8 2011	24.36
4 9 2011	24.09
4 10 2011	23.62
4 11 2011	23.03
4 12 2011	22.46
4 13 2011	21.79
4 14 2011	21.16
4 15 2011	20.84
4 16 2011	20.42
4 17 2011	20.06
4 18 2011	19.95
4 19 2011	19.94
4 20 2011	19.96
4 21 2011	19.97
4 22 2011	20.19
4 23 2011	20.36
4 24 2011	20.52
4 25 2011	20.87
4 26 2011	21.23
4 27 2011	21.73
4 28 2011	22.04
4 29 2011	22.27
4 30 2011	22.7
5 1 2011	23.25
5 2 2011	23.99
5 3 2011	24.64
5 4 2011	25.49
5 5 2011	26.39
5 6 2011	27.15
5 7 2011	27.83
5 8 2011	28.81
5 9 2011	29.85
5 10 2011	30.65
5 11 2011	31.1
5 12 2011	31.51
5 13 2011	31.56
5 14 2011	31.98
5 15 2011	32.11
5 16 2011	32.27
5 17 2011	32.44
5 18 2011	32.42
5 19 2011	32.48
5 20 2011	32.4
5 21 2011	32.35
5 22 2011	32.25
5 23 2011	32.1
5 24 2011	32.03
5 25 2011	31.73
5 26 2011	31.72
5 27 2011	31.78
5 28 2011	31.63
5 29 2011	31.54
5 30 2011	31.55
5 31 2011	31.4
6 1 2011	31.35
6 2 2011	31.19
6 3 2011	30.93
6 4 2011	30.67
6 5 2011	30.38
6 6 2011	29.86
6 7 2011	29.52
6 8 2011	29.14
6 9 2011	28.89
6 10 2011	28.62
6 11 2011	28.39
6 12 2011	28.08
6 13 2011	27.77
6 14 2011	27.52
6 15 2011	27.16
6 16 2011	26.58
6 17 2011	26.32
6 18 2011	25.83
6 19 2011	25.37
6 20 2011	24.85
6 21 2011	24.31
6 22 2011	23.91
6 23 2011	23.42
6 24 2011	22.73
6 25 2011	22.13
6 26 2011	21.53
6 27 2011	21
6 28 2011	20.55
6 29 2011	20.22
6 30 2011	19.99
7 1 2011	19.88
7 2 2011	19.75
7 3 2011	19.6
7 4 2011	19.54
7 5 2011	19.51
7 6 2011	19.66
7 7 2011	19.7
7 8 2011	19.72
7 9 2011	19.67
7 10 2011	19.68
7 11 2011	19.57
7 12 2011	19.52
7 13 2011	19.47
7 14 2011	19.35
7 15 2011	19.22
7 16 2011	19.03
7 17 2011	18.82
7 18 2011	18.65
7 19 2011	18.41
7 20 2011	18.14
7 21 2011	17.76
7 22 2011	17.21
7 23 2011	16.76
7 24 2011	16.14
7 25 2011	15.36
7 26 2011	14.59
7 27 2011	14.16
7 28 2011	13.84
7 29 2011	13.4
7 30 2011 NaN
7 31 2011 NaN
8 1 2011	11.4
8 2 2011	10.91
8 3 2011	10.52
8 4 2011	10.38
8 5 2011	10.3
8 6 2011	10.28
8 7 2011	10.11
8 8 2011	9.94
8 9 2011	9.81
8 10 2011	9.54
8 11 2011	9.41
8 12 2011	9.35
8 13 2011 NaN
8 14 2011	9.44
8 15 2011	9.62
8 16 2011	9.74
8 17 2011	9.71
8 18 2011	9.69
8 19 2011	9.49
8 20 2011	9.31
8 21 2011	9
8 22 2011	8.74
8 23 2011	8.42
8 24 2011	8.15
8 25 2011	7.94
8 26 2011	7.88
8 27 2011	7.69
8 28 2011	7.58
8 29 2011	7.66
8 30 2011	7.39
8 31 2011	7.29
9 1 2011	7.3
9 2 2011	7.7
9 3 2011	8.9
9 4 2011	8.99
9 5 2011	8.94
9 6 2011	8.51
9 7 2011	7.97
9 8 2011	7.45
9 9 2011	7.07
9 10 2011	6.67
9 11 2011	6.31
9 12 2011	6.1
9 13 2011	6.02
9 14 2011	5.91
9 15 2011	6.06
9 16 2011	6.3
9 17 2011	6.51
9 18 2011	6.75
9 19 2011	6.89
9 20 2011	6.84
9 21 2011	6.74
9 22 2011	6.66
9 23 2011	6.63
9 24 2011	6.28
9 25 2011	6
9 26 2011	5.83
9 27 2011	5.54
9 28 2011	5.43
9 29 2011	5.5
9 30 2011	5.43
10 1 2011	5.51
10 2 2011	5.6
10 3 2011	5.48
10 4 2011	5.49
10 5 2011	5.71
10 6 2011	5.81
10 7 2011	5.94
10 8 2011 NaN
10 9 2011 NaN
10 10 2011	6.65
10 11 2011	6.14
10 12 2011	5.71
10 13 2011	5.58
10 14 2011	5.4
10 15 2011	5.32
10 16 2011	5.15
10 17 2011	5.02
10 18 2011	5.19
10 19 2011	4.75
10 20 2011	4.39
10 21 2011	3.75
10 22 2011	3.4
10 23 2011	3.55
10 24 2011	3.56
10 25 2011	3.64
10 26 2011	3.7
10 27 2011	4.14
10 28 2011	4.38
10 29 2011	4.43
10 30 2011	4.72
10 31 2011	4.66
11 1 2011	4.58
11 2 2011	4.74
11 3 2011	4.83
11 4 2011	4.48
11 5 2011	4.6
11 6 2011	4.68
11 7 2011	4.77
11 8 2011	5.02
11 9 2011	5.13
11 10 2011	5.26
11 11 2011	5.23
11 12 2011	5.16
11 13 2011	5.4
11 14 2011	5.67
11 15 2011	5.54
11 16 2011	5.51
11 17 2011	5.16
11 18 2011	4.81
11 19 2011	4.71
11 20 2011	4.76
11 21 2011	4.8
11 22 2011	5.13
11 23 2011	5.52
11 24 2011	5.96
11 25 2011	6.78
11 26 2011	8.15
11 27 2011	9.57
11 28 2011	10.42
11 29 2011	11.09
11 30 2011	11.83
12 1 2011	12.53
12 2 2011	13.1
12 3 2011	13.5
12 4 2011	14.04
12 5 2011	14.68
12 6 2011	15.27
12 7 2011	16
12 8 2011	16.84
12 9 2011	17.78
12 10 2011	18.6
12 11 2011	19.42
12 12 2011	20.01
12 13 2011	20.57
12 14 2011	20.93
12 15 2011	21.02
12 16 2011	21.25
12 17 2011	21.48
12 18 2011	21.66
12 19 2011	21.78
12 20 2011	21.95
12 21 2011	22.28
12 22 2011	22.46
12 23 2011	22.46
12 24 2011	22.63
12 25 2011	22.81
12 26 2011	23.04
12 27 2011	23.35
12 28 2011	23.09
12 29 2011	22.94
12 30 2011	22.49
12 31 2011	22.26
1 1 2012	21.97
1 2 2012	21.51
1 3 2012	21.09
1 4 2012	20.8
1 5 2012	20.62
1 6 2012	20.53
1 7 2012	20.45
1 8 2012	20.32
1 9 2012	20.15
1 10 2012	20.15
1 11 2012	20.11
1 12 2012	19.53
1 13 2012	18.85
1 14 2012	18.27
1 15 2012	17.47
1 16 2012	16.7
1 17 2012	15.79
1 18 2012	14.99
1 19 2012	14.3
1 20 2012	13.77
1 21 2012	13.3
1 22 2012	13
1 23 2012	12.88
1 24 2012	12.65
1 25 2012	12.72
1 26 2012	13.2
1 27 2012	13.9
1 28 2012	14.46
1 29 2012	14.81
1 30 2012	15.57
1 31 2012	16.64
2 1 2012	17.45
2 2 2012	18.31
2 3 2012	18.92
2 4 2012	19.39
2 5 2012	19.94
2 6 2012	20.5
2 7 2012	20.95
2 8 2012	21.22
2 9 2012	21.43
2 10 2012	21.72
2 11 2012	21.71
2 12 2012	21.68
2 13 2012	21.62
2 14 2012	21.81
2 15 2012	21.73
2 16 2012	21.66
2 17 2012	21.45
2 18 2012	20.95
2 19 2012	20.77
2 20 2012	19.94
2 21 2012	19.22
2 22 2012	18.12
2 23 2012	17.27
2 24 2012	16.56
2 25 2012	16.02
2 26 2012	15.28
2 27 2012	14.64
2 28 2012	14.08
2 29 2012	13.42
3 1 2012	12.81
3 2 2012	12.38
3 3 2012	11.92
3 4 2012	11.64
3 5 2012	10.93
3 6 2012	10.55
3 7 2012	10.54
3 8 2012	10.59
3 9 2012	10.44
3 10 2012	11.19
3 11 2012	11.61
3 12 2012	12.57
3 13 2012	13.86
3 14 2012	15.01
3 15 2012	16.24
3 16 2012	17.42
3 17 2012	18.35
3 18 2012	19.07
3 19 2012	19.59
3 20 2012	20.02
3 21 2012	20.38
3 22 2012	20.58
3 23 2012	20.67
3 24 2012	20.64
3 25 2012	20.84
3 26 2012	21.03
3 27 2012	21.34
3 28 2012	21.6
3 29 2012	21.87
3 30 2012	22.12
3 31 2012	22.16
4 1 2012	22.03
4 2 2012	21.93
4 3 2012	22.01
4 4 2012	22.06
4 5 2012	21.97
4 6 2012	21.63
4 7 2012	21.13
4 8 2012	20.71
4 9 2012	20.1
4 10 2012	19.44
4 11 2012	18.78
4 12 2012	18.15
4 13 2012	17.47
4 14 2012	16.59
